Currency,Model,MAE,RMSE,R2
USD,Linear Regression,0.0032550892488314043,0.004496934509068013,0.9706851306828885
USD,SVR,0.029368442800450312,0.036895494022248114,-0.9733380795783573
USD,MLP,0.05393794570911257,0.06362267873422858,-4.867846411250327
EUR,Linear Regression,0.004094473186715976,0.005304474357135524,0.9906352506740792
EUR,SVR,0.024293942359531633,0.03601127566660224,0.5683930191074094
EUR,MLP,0.06601074659121436,0.07969677019789285,-1.113941141740388
CNY,Linear Regression,0.00043492950144980314,0.0006144935713789277,0.9495593298107381
CNY,SVR,0.0023069876535395787,0.002797606695927567,-0.04548902502004659
CNY,MLP,0.0020651398691362882,0.0024846500362995325,0.17533680098493998
